Province,Cases,Deaths,Recoveries,Active Cases,Tests,Date
#adm1+name,#affected+infected+cases,#affected+infected+deaths,#affected+infected+recoveries,#affected+infected+active,,#date
Badakhshan,"1,343",2,"1,391",,,2024-01-12
Badghis,124,,914,,,2024-01-12
Baghlan,840,,"1,154",,,2024-01-12
Balkh,707,,767,,,2024-01-12
Bamyan,"2,275",,"2,457",,,2024-01-12
Dykundi,468,,524,,,2024-01-12
Farah,103,,"1,182",,,2024-01-12
Faryab,461,,796,,,2024-01-12
Ghazni,"1,058",1,120,,,2024-01-12
Ghor,281,,479,,,2024-01-12
Helmand,465,2,369,,,2024-01-12
Hirat,"1,882",25,"2,350",,,2024-01-12
Jawzjan,286,,,,,2024-01-12
Kabul,"1,152",56,15,,,2024-01-12
Kandahar,633,,662,,,2024-01-12
Kapisa,450,1,"1,275",,,2024-01-12
Khost,97,,142,,,2024-01-12
Kunar,130,6,301,,,2024-01-12
Kunduz,718,7,787,,,2024-01-12
Laghman,424,2,472,,,2024-01-12
Logar,386,,981,,,2024-01-12
Nangarhar,"1,987",16,"2,429",,,2024-01-12
Nimroz,511,1,531,,,2024-01-12
Nooristan,413,1,20,,,2024-01-12
Paktika,432,,36,,,2024-01-12
Paktya,413,,,,,2024-01-12
Panjsher,295,,408,,,2024-01-12
Parwan,787,2,,,,2024-01-12
Samangan,335,,,,,2024-01-12
Sar-e-Pul,323,,555,,,2024-01-12
Takhar,845,1,926,,,2024-01-12
Urozgan,463,,446,,,2024-01-12
Wardak,503,,561,,,2024-01-12
Zabul,126,2,102,,,2024-01-12
Badakhshan,"6,259",89,"5,992",,,2023-11-09
Badghis,"2,449",32,"2,726",,,2023-11-09
Baghlan,"5,793",99,"5,737",,,2023-11-09
Balkh,"9,051",583,"8,585",,,2023-11-09
Bamyan,"6,647",52,"6,570",,,2023-11-09
Dykundi,"4,021",68,"4,269",,,2023-11-09
Farah,"3,151",169,"2,894",,,2023-11-09
Faryab,"2,726",145,"2,545",,,2023-11-09
Ghazni,"6,738",164,"4,742",,,2023-11-09
Ghor,"4,282",60,"3,884",,,2023-11-09
Helmand,"4,602",168,"4,087",,,2023-11-09
Hirat,"21,813",795,"21,039",,,2023-11-09
Jawzjan,"2,207",52,"2,018",,,2023-11-09
Kabul,"33,013","2,436","31,948",,,2023-11-09
Kandahar,"11,732",258,"11,686",,,2023-11-09
Kapisa,"5,434",90,"5,393",,,2023-11-09
Khost,"2,199",266,"1,877",,,2023-11-09
Kunar,"3,231",112,"3,341",,,2023-11-09
Kunduz,"6,777",234,"6,505",,,2023-11-09
Laghman,"3,858",194,"4,307",,,2023-11-09
Logar,"4,175",96,"4,203",,,2023-11-09
Nangarhar,"18,422",553,"16,585",,,2023-11-09
Nimroz,"3,981",108,"3,802",,,2023-11-09
Nooristan,"1,079",9,824,,,2023-11-09
Paktika,"2,376",54,"1,741",,,2023-11-09
Paktya,"4,318",209,"3,663",,,2023-11-09
Panjsher,"4,170",50,"3,952",,,2023-11-09
Parwan,"6,096",53,"4,841",,,2023-11-09
Samangan,"2,170",73,"1,734",,,2023-11-09
Sar-e-Pul,"1,699",34,"1,733",,,2023-11-09
Takhar,"7,580",234,"7,275",,,2023-11-09
Urozgan,"1,698",20,"1,156",,,2023-11-09
Wardak,"7,163",218,"6,921",,,2023-11-09
Zabul,"3,493",82,"2,462",,,2023-11-09
Badakhshan,"6,224",89,"5,943",,,2023-09-29
Badghis,"2,438",32,"2,637",,,2023-09-29
Baghlan,"5,782",99,"5,584",,,2023-09-29
Balkh,"9,008",583,"8,585",,,2023-09-29
Bamyan,"6,512",52,"6,452",,,2023-09-29
Dykundi,"3,992",68,"4,269",,,2023-09-29
Farah,"3,151",169,"2,894",,,2023-09-29
Faryab,"2,694",145,"2,527",,,2023-09-29
Ghazni,"6,632",164,"4,742",,,2023-09-29
Ghor,"4,249",60,"3,810",,,2023-09-29
Helmand,"4,530",168,"4,087",,,2023-09-29
Hirat,"21,723",794,"21,007",,,2023-09-29
Jawzjan,"2,191",52,"2,018",,,2023-09-29
Kabul,"32,921","2,430","31,948",,,2023-09-29
Kandahar,"11,658",258,"11,658",,,2023-09-29
Kapisa,"5,360",90,"5,298",,,2023-09-29
Khost,"2,196",266,"1,852",,,2023-09-29
Kunar,"3,230",112,"3,314",,,2023-09-29
Kunduz,"6,740",233,"6,445",,,2023-09-29
Laghman,"3,837",194,"4,303",,,2023-09-29
Logar,"4,138",96,"4,162",,,2023-09-29
Nangarhar,"18,164",553,"16,585",,,2023-09-29
Nimroz,"3,931",108,"3,731",,,2023-09-29
Nooristan,"1,024",9,824,,,2023-09-29
Paktika,"2,297",54,"1,741",,,2023-09-29
Paktya,"4,276",209,"3,663",,,2023-09-29
Panjsher,"4,121",50,"3,952",,,2023-09-29
Parwan,"6,054",53,"4,841",,,2023-09-29
Samangan,"2,168",73,"1,734",,,2023-09-29
Sar-e-Pul,"1,681",34,"1,723",,,2023-09-29
Takhar,"7,549",234,"7,260",,,2023-09-29
Urozgan,"1,620",20,"1,066",,,2023-09-29
Wardak,"7,103",218,"6,884",,,2023-09-29
Zabul,"3,476",82,"2,461",,,2023-09-29
Badakhshan,"6,203",89,"5,927",,,2023-09-13
Badghis,"2,432",32,"2,591",,,2023-09-13
Baghlan,"5,778",99,"5,464",,,2023-09-13
Balkh,"9,001",583,"8,575",,,2023-09-13
Bamyan,"6,468",52,"6,423",,,2023-09-13
Dykundi,"3,992",68,"4,269",,,2023-09-13
Farah,"3,151",169,"2,894",,,2023-09-13
Faryab,"2,688",145,"2,514",,,2023-09-13
Ghazni,"6,576",164,"4,742",,,2023-09-13
Ghor,"4,241",60,"3,784",,,2023-09-13
Helmand,"4,514",168,"4,087",,,2023-09-13
Hirat,"21,704",794,"20,992",,,2023-09-13
Jawzjan,"2,189",52,"2,018",,,2023-09-13
Kabul,"32,907","2,426","31,948",,,2023-09-13
Kandahar,"11,655",258,"11,658",,,2023-09-13
Kapisa,"5,360",90,"5,298",,,2023-09-13
Khost,"2,196",266,"1,851",,,2023-09-13
Kunar,"3,230",112,"3,303",,,2023-09-13
Kunduz,"6,712",233,"6,400",,,2023-09-13
Laghman,"3,835",194,"4,303",,,2023-09-13
Logar,"4,121",96,"4,140",,,2023-09-13
Nangarhar,"18,130",553,"16,585",,,2023-09-13
Nimroz,"3,886",108,"3,701",,,2023-09-13
Nooristan,"1,020",9,824,,,2023-09-13
Paktika,"2,271",54,"1,741",,,2023-09-13
Paktya,"4,276",209,"3,663",,,2023-09-13
Panjsher,"4,121",50,"3,952",,,2023-09-13
Parwan,"6,029",53,"4,841",,,2023-09-13
Samangan,"2,166",73,"1,734",,,2023-09-13
Sar-e-Pul,"1,672",34,"1,692",,,2023-09-13
Takhar,"7,542",234,"7,257",,,2023-09-13
Urozgan,"1,586",20,"1,056",,,2023-09-13
Wardak,"7,102",218,"6,877",,,2023-09-13
Zabul,"3,458",82,"2,410",,,2023-09-13
Badakhshan,"6,193",89,"5,885",,,2023-09-06
Badghis,"2,429",32,"2,560",,,2023-09-06
Baghlan,"5,778",99,"5,401",,,2023-09-06
Balkh,"8,997",583,"8,575",,,2023-09-06
Bamyan,"6,450",52,"6,399",,,2023-09-06
Dykundi,"3,992",68,"4,269",,,2023-09-06
Farah,"3,151",169,"2,894",,,2023-09-06
Faryab,"2,684",145,"2,508",,,2023-09-06
Ghazni,"6,533",164,"4,742",,,2023-09-06
Ghor,"4,236",60,"3,779",,,2023-09-06
Helmand,"4,506",168,"4,060",,,2023-09-06
Hirat,"21,691",794,"20,971",,,2023-09-06
Jawzjan,"2,188",52,"2,018",,,2023-09-06
Kabul,"32,904","2,424","31,948",,,2023-09-06
Kandahar,"11,650",258,"11,636",,,2023-09-06
Kapisa,"5,360",90,"5,298",,,2023-09-06
Khost,"2,196",266,"1,849",,,2023-09-06
Kunar,"3,230",112,"3,303",,,2023-09-06
Kunduz,"6,699",233,"6,300",,,2023-09-06
Laghman,"3,831",194,"4,301",,,2023-09-06
Logar,"4,110",96,"4,129",,,2023-09-06
Nangarhar,"18,107",553,"16,585",,,2023-09-06
Nimroz,"3,874",108,"3,693",,,2023-09-06
Nooristan,"1,016",9,824,,,2023-09-06
Paktika,"2,267",54,"1,741",,,2023-09-06
Paktya,"4,274",209,"3,663",,,2023-09-06
Panjsher,"4,121",50,"3,952",,,2023-09-06
Parwan,"6,022",53,"4,841",,,2023-09-06
Samangan,"2,164",73,"1,734",,,2023-09-06
Sar-e-Pul,"1,669",34,"1,692",,,2023-09-06
Takhar,"7,536",234,"7,241",,,2023-09-06
Urozgan,"1,582",20,"1,049",,,2023-09-06
Wardak,"7,097",218,"6,871",,,2023-09-06
Zabul,"3,467",82,"2,410",,,2023-09-06
Badakhshan,"6,189",89,"5,853",,,2023-08-30
Badghis,"2,429",32,"2,536",,,2023-08-30
Baghlan,"5,773",99,"5,363",,,2023-08-30
Balkh,"8,996",583,"8,575",,,2023-08-30
Bamyan,"6,443",52,"6,378",,,2023-08-30
Dykundi,"3,992",68,"4,269",,,2023-08-30
Farah,"3,151",169,"2,894",,,2023-08-30
Faryab,"2,677",145,"2,502",,,2023-08-30
Ghazni,"6,511",164,"4,742",,,2023-08-30
Ghor,"4,234",60,"3,775",,,2023-08-30
Helmand,"4,506",168,"4,030",,,2023-08-30
Hirat,"21,673",794,"20,966",,,2023-08-30
Jawzjan,"2,186",52,"2,018",,,2023-08-30
Kabul,"32,903","2,424","31,948",,,2023-08-30
Kandahar,"11,650",258,"11,628",,,2023-08-30
Kapisa,"5,359",90,"5,291",,,2023-08-30
Khost,"2,195",266,"1,849",,,2023-08-30
Kunar,"3,230",112,"3,303",,,2023-08-30
Kunduz,"6,693",233,"6,300",,,2023-08-30
Laghman,"3,828",194,"4,291",,,2023-08-30
Logar,"4,107",96,"4,126",,,2023-08-30
Nangarhar,"18,086",553,"16,585",,,2023-08-30
Nimroz,"3,863",108,"3,686",,,2023-08-30
Nooristan,"1,014",9,824,,,2023-08-30
Paktika,"2,261",54,"1,741",,,2023-08-30
Paktya,"4,274",209,"3,663",,,2023-08-30
Panjsher,"4,121",50,"3,952",,,2023-08-30
Parwan,"6,015",53,"4,841",,,2023-08-30
Samangan,"2,154",73,"1,734",,,2023-08-30
Sar-e-Pul,"1,663",34,"1,676",,,2023-08-30
Takhar,"7,526",234,"7,241",,,2023-08-30
Urozgan,"1,559",20,"1,049",,,2023-08-30
Wardak,"7,095",218,"6,871",,,2023-08-30
Zabul,"3,458",82,"2,410",,,2023-08-30
Badakhshan,"6,100",89,"5,800",,,2023-08-07
Badghis,"2,421",32,"2,453",,,2023-08-07
Baghlan,"5,751",99,"5,247",,,2023-08-07
Balkh,"8,991",583,"8,570",,,2023-08-07
Bamyan,"6,363",52,"6,298",,,2023-08-07
Dykundi,"3,948",68,"3,946",,,2023-08-07
Farah,"3,149",169,"2,894",,,2023-08-07
Faryab,"2,663",145,"2,484",,,2023-08-07
Ghazni,"6,420",164,"4,742",,,2023-08-07
Ghor,"4,225",60,"3,750",,,2023-08-07
Helmand,"4,487",168,"3,900",,,2023-08-07
Hirat,"21,631",793,"20,927",,,2023-08-07
Jawzjan,"2,176",52,"2,018",,,2023-08-07
Kabul,"32,903","2,420","31,948",,,2023-08-07
Kandahar,"11,645",258,"11,559",,,2023-08-07
Kapisa,"5,346",90,"5,244",,,2023-08-07
Khost,"2,194",266,"1,848",,,2023-08-07
Kunar,"3,230",112,"3,283",,,2023-08-07
Kunduz,"6,670",233,"6,207",,,2023-08-07
Laghman,"3,820",193,"4,289",,,2023-08-07
Logar,"4,090",96,"4,109",,,2023-08-07
Nangarhar,"18,057",553,"16,585",,,2023-08-07
Nimroz,"3,851",108,"3,661",,,2023-08-07
Nooristan,"1,002",9,824,,,2023-08-07
Paktika,"2,242",54,"1,741",,,2023-08-07
Paktya,"4,274",209,"3,663",,,2023-08-07
Panjsher,"4,121",50,"3,952",,,2023-08-07
Parwan,"5,944",53,"4,841",,,2023-08-07
Samangan,"2,154",73,"1,734",,,2023-08-07
Sar-e-Pul,"1,650",34,"1,676",,,2023-08-07
Takhar,"7,490",234,"7,228",,,2023-08-07
Urozgan,"1,552",20,"1,037",,,2023-08-07
Wardak,"7,093",218,"6,871",,,2023-08-07
Zabul,"3,458",82,"2,410",,,2023-08-07
Badakhshan,"6,077",89,"5,759",,,2023-07-19
Badghis,"2,414",32,"2,354",,,2023-07-19
Baghlan,"5,742",99,"5,167",,,2023-07-19
Balkh,"8,987",583,"8,570",,,2023-07-19
Bamyan,"6,301",52,"6,262",,,2023-07-19
Dykundi,"3,900",68,"3,946",,,2023-07-19
Farah,"3,146",169,"2,894",,,2023-07-19
Faryab,"2,643",145,"2,448",,,2023-07-19
Ghazni,"6,397",164,"4,742",,,2023-07-19
Ghor,"4,215",60,"3,724",,,2023-07-19
Helmand,"4,471",168,"3,821",,,2023-07-19
Hirat,"21,577",792,"20,888",,,2023-07-19
Jawzjan,"2,172",52,"2,018",,,2023-07-19
Kabul,"32,902","2,417","31,948",,,2023-07-19
Kandahar,"11,641",258,"11,468",,,2023-07-19
Kapisa,"5,344",90,"5,244",,,2023-07-19
Khost,"2,193",266,"1,821",,,2023-07-19
Kunar,"3,230",112,"3,272",,,2023-07-19
Kunduz,"6,657",233,"6,155",,,2023-07-19
Laghman,"3,813",192,"4,287",,,2023-07-19
Logar,"4,079",96,"4,097",,,2023-07-19
Nangarhar,"18,057",552,"16,585",,,2023-07-19
Nimroz,"3,844",108,"3,636",,,2023-07-19
Nooristan,993,9,824,,,2023-07-19
Paktika,"2,226",54,"1,741",,,2023-07-19
Paktya,"4,249",209,"3,663",,,2023-07-19
Panjsher,"4,114",50,"3,952",,,2023-07-19
Parwan,"5,928",53,"4,841",,,2023-07-19
Samangan,"2,153",73,"1,734",,,2023-07-19
Sar-e-Pul,"1,643",34,"1,611",,,2023-07-19
Takhar,"7,473",234,"7,213",,,2023-07-19
Urozgan,"1,535",20,"1,030",,,2023-07-19
Wardak,"7,087",218,"6,867",,,2023-07-19
Zabul,"3,457",82,"2,409",,,2023-07-19
Badakhshan,"6,061",89,"5,750",,,2023-07-07
Badghis,"2,408",32,"2,304",,,2023-07-07
Baghlan,"5,735",99,"5,088",,,2023-07-07
Balkh,"8,982",583,"8,555",,,2023-07-07
Bamyan,"6,285",52,"6,250",,,2023-07-07
Dykundi,"3,881",68,"3,946",,,2023-07-07
Farah,"3,144",169,"2,894",,,2023-07-07
Faryab,"2,635",145,"2,434",,,2023-07-07
Ghazni,"6,351",164,"4,742",,,2023-07-07
Ghor,"4,199",60,"3,712",,,2023-07-07
Helmand,"4,455",168,"3,779",,,2023-07-07
Hirat,"21,556",792,"20,864",,,2023-07-07
Jawzjan,"2,162",52,"2,018",,,2023-07-07
Kabul,"32,901","2,416","31,948",,,2023-07-07
Kandahar,"11,639",258,"11,441",,,2023-07-07
Kapisa,"5,338",90,"5,200",,,2023-07-07
Khost,"2,190",266,"1,820",,,2023-07-07
Kunar,"3,230",112,"3,267",,,2023-07-07
Kunduz,"6,640",233,"6,134",,,2023-07-07
Laghman,"3,809",192,"4,271",,,2023-07-07
Logar,"4,072",96,"4,090",,,2023-07-07
Nangarhar,"18,049",552,"16,585",,,2023-07-07
Nimroz,"3,833",108,"3,615",,,2023-07-07
Nooristan,990,9,824,,,2023-07-07
Paktika,"2,219",54,"1,741",,,2023-07-07
Paktya,"4,248",209,"3,663",,,2023-07-07
Panjsher,"4,111",50,"3,952",,,2023-07-07
Parwan,"5,922",53,"4,841",,,2023-07-07
Samangan,"2,149",73,"1,734",,,2023-07-07
Sar-e-Pul,"1,642",34,"1,591",,,2023-07-07
Takhar,"7,448",234,"7,224",,,2023-07-07
Urozgan,"1,525",20,"1,028",,,2023-07-07
Wardak,"7,085",218,"6,836",,,2023-07-07
Zabul,"3,457",82,"2,409",,,2023-07-07
Badakhshan,"6,049",89,"5,706",,,2023-06-20
Badghis,"2,400",32,"2,253",,,2023-06-20
Baghlan,"5,728",99,"4,965",,,2023-06-20
Balkh,"8,975",583,"8,537",,,2023-06-20
Bamyan,"6,255",52,"6,084",,,2023-06-20
Dykundi,"3,643",68,"3,927",,,2023-06-20
Farah,"3,144",169,"2,894",,,2023-06-20
Faryab,"2,619",145,"2,429",,,2023-06-20
Ghazni,"6,326",164,"4,742",,,2023-06-20
Ghor,"4,190",60,"3,690",,,2023-06-20
Helmand,"4,448",168,"3,779",,,2023-06-20
Hirat,"21,527",792,"20,830",,,2023-06-20
Jawzjan,"2,160",52,"2,018",,,2023-06-20
Kabul,"32,897","2,413","31,948",,,2023-06-20
Kandahar,"11,639",258,"11,433",,,2023-06-20
Kapisa,"5,338",90,"5,176",,,2023-06-20
Khost,"2,188",266,"1,814",,,2023-06-20
Kunar,"3,230",109,"3,255",,,2023-06-20
Kunduz,"6,635",232,"6,110",,,2023-06-20
Laghman,"3,805",192,"4,239",,,2023-06-20
Logar,"4,062",96,"4,079",,,2023-06-20
Nangarhar,"18,001",552,"16,585",,,2023-06-20
Nimroz,"3,833",108,"3,596",,,2023-06-20
Nooristan,981,9,824,,,2023-06-20
Paktika,"2,213",54,"1,741",,,2023-06-20
Paktya,"4,225",209,"3,663",,,2023-06-20
Panjsher,"4,108",50,"3,942",,,2023-06-20
Parwan,"5,921",53,"4,841",,,2023-06-20
Samangan,"2,144",73,"1,734",,,2023-06-20
Sar-e-Pul,"1,635",34,"1,587",,,2023-06-20
Takhar,"7,445",234,"7,142",,,2023-06-20
Urozgan,"1,525",20,"1,028",,,2023-06-20
Wardak,"7,077",218,"6,836",,,2023-06-20
Zabul,"3,455",82,"2,409",,,2023-06-20
Badakhshan,"6,049",89,"5,698",,,2023-06-15
Badghis,"2,397",32,"2,232",,,2023-06-15
Baghlan,"5,725",99,"4,925",,,2023-06-15
Balkh,"8,972",583,"8,537",,,2023-06-15
Bamyan,"6,211",52,"5,948",,,2023-06-15
Dykundi,"3,643",68,"3,092",,,2023-06-15
Farah,"3,136",169,"2,894",,,2023-06-15
Faryab,"2,613",145,"2,424",,,2023-06-15
Ghazni,"6,326",164,"4,742",,,2023-06-15
Ghor,"4,186",60,"3,681",,,2023-06-15
Helmand,"4,446",168,"3,779",,,2023-06-15
Hirat,"21,519",792,"20,809",,,2023-06-15
Jawzjan,"2,156",52,"2,018",,,2023-06-15
Kabul,"32,886","2,412","31,948",,,2023-06-15
Kandahar,"11,629",258,"11,422",,,2023-06-15
Kapisa,"5,338",90,"5,176",,,2023-06-15
Khost,"2,188",266,"1,814",,,2023-06-15
Kunar,"3,230",109,"3,255",,,2023-06-15
Kunduz,"6,630",231,"6,110",,,2023-06-15
Laghman,"3,805",192,"4,233",,,2023-06-15
Logar,"4,060",96,"4,075",,,2023-06-15
Nangarhar,"17,987",552,"16,585",,,2023-06-15
Nimroz,"3,824",108,"3,588",,,2023-06-15
Nooristan,976,9,824,,,2023-06-15
Paktika,"2,209",54,"1,741",,,2023-06-15
Paktya,"4,225",209,"3,663",,,2023-06-15
Panjsher,"4,097",50,"3,926",,,2023-06-15
Parwan,"5,921",53,"4,841",,,2023-06-15
Samangan,"2,122",73,"1,734",,,2023-06-15
Sar-e-Pul,"1,629",34,"1,587",,,2023-06-15
Takhar,"7,445",234,"7,121",,,2023-06-15
Urozgan,"1,525",20,"1,024",,,2023-06-15
Wardak,"7,074",218,"6,817",,,2023-06-15
Zabul,"3,452",82,"2,408",,,2023-06-15
Badakhshan,"6,033",89,"5,635",,,2023-06-08
Badghis,"2,395",32,"2,193",,,2023-06-08
Baghlan,"5,717",99,"4,864",,,2023-06-08
Balkh,"8,964",583,"8,537",,,2023-06-08
Bamyan,"6,103",52,"5,785",,,2023-06-08
Dykundi,"3,643",68,"2,910",,,2023-06-08
Farah,"3,136",169,"2,894",,,2023-06-08
Faryab,"2,611",145,"2,409",,,2023-06-08
Ghazni,"6,307",164,"4,742",,,2023-06-08
Ghor,"4,179",60,"3,669",,,2023-06-08
Helmand,"4,434",168,"3,779",,,2023-06-08
Hirat,"21,478",792,"20,783",,,2023-06-08
Jawzjan,"2,151",52,"2,018",,,2023-06-08
Kabul,"32,873","2,411","31,948",,,2023-06-08
Kandahar,"11,608",258,"11,417",,,2023-06-08
Kapisa,"5,325",89,"5,154",,,2023-06-08
Khost,"2,183",266,"1,672",,,2023-06-08
Kunar,"3,230",109,"3,084",,,2023-06-08
Kunduz,"6,622",231,"6,110",,,2023-06-08
Laghman,"3,802",192,"4,194",,,2023-06-08
Logar,"4,053",96,"4,068",,,2023-06-08
Nangarhar,"17,950",551,"16,585",,,2023-06-08
Nimroz,"3,817",108,"3,580",,,2023-06-08
Nooristan,963,9,824,,,2023-06-08
Paktika,"2,203",54,"1,741",,,2023-06-08
Paktya,"4,219",209,"3,663",,,2023-06-08
Panjsher,"4,095",50,"3,926",,,2023-06-08
Parwan,"5,917",53,"4,841",,,2023-06-08
Samangan,"2,113",73,"1,734",,,2023-06-08
Sar-e-Pul,"1,623",34,"1,587",,,2023-06-08
Takhar,"7,433",234,"6,999",,,2023-06-08
Urozgan,"1,520",20,"1,012",,,2023-06-08
Wardak,"7,054",218,"6,777",,,2023-06-08
Zabul,"3,451",82,"2,407",,,2023-06-08
Badakhshan,"6,020",89,"5,563",,,2023-06-02
Badghis,"2,394",32,"2,150",,,2023-06-02
Baghlan,"5,705",99,"4,802",,,2023-06-02
Balkh,"8,940",583,"8,531",,,2023-06-02
Bamyan,"6,006",52,"5,557",,,2023-06-02
Dykundi,"3,643",68,"2,910",,,2023-06-02
Farah,"3,133",169,"1,712",,,2023-06-02
Faryab,"2,595",145,"2,401",,,2023-06-02
Ghazni,"6,277",164,"4,742",,,2023-06-02
Ghor,"4,177",60,"3,662",,,2023-06-02
Helmand,"4,425",168,"3,779",,,2023-06-02
Hirat,"21,454",792,"20,655",,,2023-06-02
Jawzjan,"2,148",52,"2,018",,,2023-06-02
Kabul,"32,860","2,409","31,948",,,2023-06-02
Kandahar,"11,597",258,"11,412",,,2023-06-02
Kapisa,"5,314",89,"5,139",,,2023-06-02
Khost,"2,183",266,"1,623",,,2023-06-02
Kunar,"3,219",109,"3,084",,,2023-06-02
Kunduz,"6,595",231,"6,092",,,2023-06-02
Laghman,"3,800",192,"4,164",,,2023-06-02
Logar,"4,047",96,"4,060",,,2023-06-02
Nangarhar,"17,924",551,"16,585",,,2023-06-02
Nimroz,"3,811",108,"3,570",,,2023-06-02
Nooristan,946,9,824,,,2023-06-02
Paktika,"2,199",54,"1,741",,,2023-06-02
Paktya,"4,194",209,"3,663",,,2023-06-02
Panjsher,"4,089",50,"3,672",,,2023-06-02
Parwan,"5,904",53,"4,841",,,2023-06-02
Samangan,"2,113",73,"1,734",,,2023-06-02
Sar-e-Pul,"1,617",34,"1,596",,,2023-06-02
Takhar,"7,394",234,"6,815",,,2023-06-02
Urozgan,"1,516",20,"1,000",,,2023-06-02
Wardak,"7,035",218,"6,765",,,2023-06-02
Zabul,"3,451",82,"2,407",,,2023-06-02
Badakhshan,"6,018",89,"5,521",,,2023-05-30
Badghis,"2,393",32,"2,140",,,2023-05-30
Baghlan,"5,694",99,"4,802",,,2023-05-30
Balkh,"8,934",583,"8,524",,,2023-05-30
Bamyan,"5,941",52,"5,463",,,2023-05-30
Dykundi,"3,643",68,"2,910",,,2023-05-30
Farah,"3,133",169,"1,712",,,2023-05-30
Faryab,"2,595",145,"2,394",,,2023-05-30
Ghazni,"6,266",164,"4,742",,,2023-05-30
Ghor,"4,174",60,"3,657",,,2023-05-30
Helmand,"4,425",168,"3,779",,,2023-05-30
Hirat,"21,444",792,"20,649",,,2023-05-30
Jawzjan,"2,148",52,"2,018",,,2023-05-30
Kabul,"32,843","2,406","31,941",,,2023-05-30
Kandahar,"11,597",258,"11,408",,,2023-05-30
Kapisa,"5,304",89,"4,954",,,2023-05-30
Khost,"2,182",266,"1,623",,,2023-05-30
Kunar,"3,211",109,"3,084",,,2023-05-30
Kunduz,"6,572",231,"6,092",,,2023-05-30
Laghman,"3,800",192,"4,164",,,2023-05-30
Logar,"4,045",96,"4,057",,,2023-05-30
Nangarhar,"17,920",551,"16,585",,,2023-05-30
Nimroz,"3,806",108,"3,564",,,2023-05-30
Nooristan,943,9,824,,,2023-05-30
Paktika,"2,199",54,"1,741",,,2023-05-30
Paktya,"4,162",209,"3,663",,,2023-05-30
Panjsher,"4,083",50,"3,597",,,2023-05-30
Parwan,"5,898",53,"4,841",,,2023-05-30
Samangan,"2,098",73,"1,734",,,2023-05-30
Sar-e-Pul,"1,613",34,"1,596",,,2023-05-30
Takhar,"7,379",234,"6,761",,,2023-05-30
Urozgan,"1,512",20,998,,,2023-05-30
Wardak,"7,035",218,"6,728",,,2023-05-30
Zabul,"3,447",82,"2,406",,,2023-05-30
Badakhshan,"5,940",88,"5,468",,,2023-05-26
Badghis,"2,385",32,"2,116",,,2023-05-26
Baghlan,"5,664",99,"4,802",,,2023-05-26
Balkh,"8,924",583,"8,517",,,2023-05-26
Bamyan,"5,879",52,"5,203",,,2023-05-26
Dykundi,"3,643",68,"2,910",,,2023-05-26
Farah,"3,127",169,"1,712",,,2023-05-26
Faryab,"2,592",145,"2,377",,,2023-05-26
Ghazni,"6,252",164,"4,742",,,2023-05-26
Ghor,"4,174",60,"3,647",,,2023-05-26
Helmand,"4,423",168,"3,779",,,2023-05-26
Hirat,"21,405",792,"20,627",,,2023-05-26
Jawzjan,"2,148",52,"2,018",,,2023-05-26
Kabul,"32,825","2,406","31,941",,,2023-05-26
Kandahar,"11,576",258,"11,405",,,2023-05-26
Kapisa,"5,290",89,"4,954",,,2023-05-26
Khost,"2,180",266,"1,623",,,2023-05-26
Kunar,"3,211",109,"3,084",,,2023-05-26
Kunduz,"6,546",231,"6,006",,,2023-05-26
Laghman,"3,798",192,"4,158",,,2023-05-26
Logar,"4,040",96,"4,050",,,2023-05-26
Nangarhar,"17,904",551,"16,585",,,2023-05-26
Nimroz,"3,779",108,"3,556",,,2023-05-26
Nooristan,934,9,824,,,2023-05-26
Paktika,"2,199",54,"1,741",,,2023-05-26
Paktya,"4,162",209,"3,663",,,2023-05-26
Panjsher,"4,083",50,"3,597",,,2023-05-26
Parwan,"5,866",53,"4,841",,,2023-05-26
Samangan,"2,098",73,"1,734",,,2023-05-26
Sar-e-Pul,"1,606",34,"1,578",,,2023-05-26
Takhar,"7,307",234,"6,746",,,2023-05-26
Urozgan,"1,510",20,989,,,2023-05-26
Wardak,"7,024",218,"6,668",,,2023-05-26
Zabul,"3,446",82,"2,406",,,2023-05-26
Badakhshan,"5,918",88,"5,407",,,2023-05-23
Badghis,"2,385",32,"2,105",,,2023-05-23
Baghlan,"5,639",99,"4,802",,,2023-05-23
Balkh,"8,912",583,"8,465",,,2023-05-23
Bamyan,"5,768",52,"5,103",,,2023-05-23
Dykundi,"3,643",68,"2,910",,,2023-05-23
Farah,"3,123",169,"1,712",,,2023-05-23
Faryab,"2,579",145,"2,371",,,2023-05-23
Ghazni,"6,231",164,"4,742",,,2023-05-23
Ghor,"4,173",60,"3,641",,,2023-05-23
Helmand,"4,410",168,"3,776",,,2023-05-23
Hirat,"21,381",791,"20,522",,,2023-05-23
Jawzjan,"2,146",52,"2,018",,,2023-05-23
Kabul,"32,810","2,406","31,941",,,2023-05-23
Kandahar,"11,576",258,"11,400",,,2023-05-23
Kapisa,"5,267",89,"4,918",,,2023-05-23
Khost,"2,178",266,"1,623",,,2023-05-23
Kunar,"3,211",109,"3,084",,,2023-05-23
Kunduz,"6,544",231,"6,006",,,2023-05-23
Laghman,"3,795",192,"4,152",,,2023-05-23
Logar,"4,033",96,"4,040",,,2023-05-23
Nangarhar,"17,890",551,"16,585",,,2023-05-23
Nimroz,"3,768",108,"3,551",,,2023-05-23
